game.id,year,week,outcome,conference,abbrvs,name,o.rank,o.pts,n.rank,n.pts
1,2008,1,W,Mid-American,WMU,Western Michigan,26,24,26,47
2,2008,2,W,Western Athletic,SJSU,San Jose State,26,12,26,35
3,2008,3,W,Western Athletic,NMSU,New Mexico State,26,7,26,38
4,2008,4,L,Atlantic Coast,VT,Virginia Tech,26,35,26,30
5,2008,5,L,Big 12,MIZZ,Missouri,4,52,26,17
6,2008,6,L,Big 12,TTU,Texas Tech,7,37,26,31
7,2008,7,W,Big 12,ISU,Iowa State,26,7,26,35
8,2008,8,W,Big 12,BAY,Baylor,26,20,26,32
9,2008,9,L,Big 12,OU,Oklahoma,4,62,26,28
10,2008,10,W,Big 12,KU,Kansas,26,35,26,45
11,2008,11,W,Big 12,KSU,Kansas State,26,28,26,56
12,2008,12,W,Big 12,COL,Colorado ,26,31,26,40
13,2008,13,W,Atlantic Coast,CLEM,Clemson,26,21,26,26
14,2009,1,W,Sun Belt,FAU,Florida Atlantic,26,3,24,49
15,2009,2,W,Sun Belt,ARKST,Arkansas State,26,9,22,38
16,2009,3,L,Atlantic Coast,VT,Virginia Tech,13,16,19,15
17,2009,4,W,Sun Belt,LA-L,Louisiana-Lafayette,26,0,25,55
18,2009,5,W,Big 12,MIZZ,Missouri,24,12,21,27
19,2009,6,L,Big 12,TTU,Texas Tech,26,31,15,10
20,2009,7,L,Big 12,ISU,Iowa State,26,9,26,7
21,2009,8,W,Big 12,BAY,Baylor,26,10,26,20
22,2009,9,W,Big 12,OU,Oklahoma,20,3,26,10
23,2009,10,W,Big 12,KU,Kansas,26,17,26,31
24,2009,11,W,Big 12,KSU,Kansas State,26,3,26,17
25,2009,12,W,Big 12,COL,Colorado ,26,20,26,28
26,2009,13,L,Big 12,TEX,Texas,3,13,21,12
27,2009,14,W,Pac-12,ARI,Arizona,22,0,20,33
28,2010,1,W,Sun Belt,WKU,Western Kentucky,26,10,8,49
29,2010,2,W,Western Athletic,ID,Idaho,26,17,6,38
30,2010,3,W,Pac-12,WASH,Washington,26,21,8,56
31,2010,4,W,FCS,SDKSU,South Dakota State,26,3,6,17
32,2010,5,W,Big 12,KSU,Kansas State,26,13,7,48
