"","year","week","abbrvs","conference","o.pts","n.pts","ptdiff","confplay","fbs"
"1",2008,1,"WMU","Mid-American",24,47,23,"Non-Conference",0
"2",2008,2,"SJSU","Western Athletic",12,35,23,"Non-Conference",0
"3",2008,3,"NMSU","Western Athletic",7,38,31,"Non-Conference",0
"4",2008,4,"VT","Atlantic Coast",35,30,-5,"Non-Conference",1
"5",2008,5,"MIZZ","Big 12",52,17,-35,"Conference",0
"6",2008,6,"TTU","Big 12",37,31,-6,"Conference",0
"7",2008,7,"ISU","Big 12",7,35,28,"Conference",0
"8",2008,8,"BAY","Big 12",20,32,12,"Conference",0
"9",2008,9,"OU","Big 12",62,28,-34,"Conference",0
"10",2008,10,"KU","Big 12",35,45,10,"Conference",0
"11",2008,11,"KSU","Big 12",28,56,28,"Conference",0
"12",2008,12,"COL","Big 12",31,40,9,"Conference",0
"13",2008,13,"CLEM","Atlantic Coast",21,26,5,"Non-Conference",1
"14",2009,1,"FAU","Sun Belt",3,49,46,"Non-Conference",0
"15",2009,2,"ARKST","Sun Belt",9,38,29,"Non-Conference",0
"16",2009,3,"VT","Atlantic Coast",16,15,-1,"Non-Conference",1
"17",2009,4,"LA-L","Sun Belt",0,55,55,"Non-Conference",0
"18",2009,5,"MIZZ","Big 12",12,27,15,"Conference",0
"19",2009,6,"TTU","Big 12",31,10,-21,"Conference",0
"20",2009,7,"ISU","Big 12",9,7,-2,"Conference",0
"21",2009,8,"BAY","Big 12",10,20,10,"Conference",0
"22",2009,9,"OU","Big 12",3,10,7,"Conference",0
"23",2009,10,"KU","Big 12",17,31,14,"Conference",0
"24",2009,11,"KSU","Big 12",3,17,14,"Conference",0
"25",2009,12,"COL","Big 12",20,28,8,"Conference",0
"26",2009,13,"TEX","Big 12",13,12,-1,"Conference",0
"27",2009,14,"ARI","Pac-12",0,33,33,"Non-Conference",1
"28",2010,1,"WKU","Sun Belt",10,49,39,"Non-Conference",0
"29",2010,2,"ID","Western Athletic",17,38,21,"Non-Conference",0
"30",2010,3,"WASH","Pac-12",21,56,35,"Non-Conference",1
"31",2010,4,"SDKSU","FCS",3,17,14,"Non-Conference",0
"32",2010,5,"KSU","Big 12",13,48,35,"Conference",0
"33",2010,6,"TEX","Big 12",20,13,-7,"Conference",0
"34",2010,7,"OKST","Big 12",41,51,10,"Conference",0
"35",2010,8,"MIZZ","Big 12",17,31,14,"Conference",0
"36",2010,9,"ISU","Big 12",30,31,1,"Conference",0
"37",2010,10,"KU","Big 12",3,20,17,"Conference",0
"38",2010,11,"TAMU","Big 12",9,6,-3,"Conference",0
"39",2010,12,"COL","Big 12",17,45,28,"Conference",0
"40",2010,13,"OU","Big 12",23,20,-3,"Conference",0
"41",2010,14,"WASH","Pac-12",19,7,-12,"Non-Conference",1
"42",2011,1,"CHATT","FCS",7,40,33,"Non-Conference",0
"43",2011,2,"FRES","Mountain West",29,42,13,"Non-Conference",0
"44",2011,3,"WASH","Pac-12",38,51,13,"Non-Conference",1
"45",2011,4,"WYO","Mountain West",14,38,24,"Non-Conference",0
"46",2011,5,"WIS","Big Ten",48,17,-31,"Conference",0
"47",2011,6,"OSU","Big Ten",27,34,7,"Conference",0
"48",2011,7,"MINN","Big Ten",14,41,27,"Conference",0
"49",2011,8,"MSU","Big Ten",3,24,21,"Conference",0
"50",2011,9,"NU","Big Ten",28,25,-3,"Conference",0
